split,tgt_msg,src_msg,accuracy,f1_score,precision,recall
30,6,1,0.749,0.73,0.802,0.692
30,6,2,0.749,0.73,0.802,0.692
30,6,3,0.748,0.729,0.802,0.691
30,6,4,0.747,0.728,0.801,0.689
30,6,5,0.747,0.728,0.801,0.689
30,6,6,0.748,0.729,0.797,0.689
30,6,7,0.737,0.72,0.79,0.682
30,6,8,0.737,0.72,0.79,0.682
30,6,9,0.737,0.72,0.79,0.682
30,7,0,0.745,0.725,0.784,0.69
30,7,1,0.749,0.73,0.802,0.692
30,7,2,0.749,0.73,0.802,0.692
30,7,3,0.749,0.73,0.802,0.692
30,7,4,0.747,0.728,0.801,0.689
30,7,5,0.747,0.728,0.801,0.689
30,7,6,0.747,0.728,0.801,0.689
30,7,7,0.748,0.729,0.797,0.689
30,7,8,0.737,0.72,0.79,0.682
30,7,9,0.737,0.72,0.79,0.682
30,8,0,0.745,0.725,0.784,0.69
30,8,1,0.749,0.73,0.802,0.692
30,8,2,0.749,0.73,0.802,0.692
30,8,3,0.749,0.73,0.802,0.692
30,8,4,0.749,0.73,0.802,0.692
30,8,5,0.747,0.728,0.801,0.689
30,8,6,0.747,0.728,0.801,0.689
30,8,7,0.747,0.728,0.801,0.689
30,8,8,0.748,0.729,0.797,0.689
30,8,9,0.737,0.72,0.79,0.682
30,9,0,0.745,0.725,0.784,0.69
30,9,1,0.749,0.73,0.802,0.692
30,9,2,0.749,0.73,0.802,0.692
30,9,3,0.749,0.73,0.802,0.692
30,9,4,0.749,0.73,0.802,0.692
30,9,5,0.747,0.728,0.801,0.689
30,9,6,0.747,0.728,0.801,0.689
30,9,7,0.747,0.728,0.801,0.689
30,9,8,0.747,0.728,0.801,0.689
30,9,9,0.748,0.729,0.797,0.689
40,0,0,0.755,0.74,0.792,0.708
40,0,1,0.729,0.717,0.789,0.678
40,0,2,0.729,0.717,0.789,0.678
40,0,3,0.729,0.717,0.789,0.678
40,0,4,0.729,0.717,0.789,0.678
40,0,5,0.729,0.717,0.789,0.678
40,0,6,0.729,0.717,0.789,0.678
40,0,7,0.729,0.717,0.789,0.678
40,0,8,0.729,0.717,0.789,0.678
40,0,9,0.729,0.717,0.789,0.678
40,1,0,0.721,0.704,0.779,0.665
40,1,1,0.722,0.711,0.789,0.669
40,1,2,0.716,0.7,0.783,0.657
40,1,3,0.712,0.696,0.78,0.654
40,1,4,0.712,0.696,0.78,0.654
40,1,5,0.712,0.696,0.78,0.654
40,1,6,0.712,0.696,0.78,0.654
40,1,7,0.712,0.696,0.78,0.654
40,1,8,0.712,0.696,0.78,0.654
40,1,9,0.712,0.696,0.78,0.654
40,2,0,0.721,0.704,0.779,0.665
40,2,1,0.717,0.703,0.787,0.66
40,2,2,0.722,0.711,0.789,0.669
40,2,3,0.716,0.7,0.783,0.657
40,2,4,0.716,0.7,0.783,0.657
40,2,5,0.712,0.696,0.78,0.654
40,2,6,0.712,0.696,0.78,0.654
40,2,7,0.712,0.696,0.78,0.654
40,2,8,0.712,0.696,0.78,0.654
40,2,9,0.712,0.696,0.78,0.654
40,3,0,0.721,0.704,0.779,0.665
40,3,1,0.717,0.703,0.787,0.66
40,3,2,0.718,0.703,0.785,0.66
40,3,3,0.722,0.711,0.789,0.669
40,3,4,0.716,0.7,0.783,0.657
40,3,5,0.716,0.7,0.783,0.657
40,3,6,0.716,0.7,0.783,0.657
40,3,7,0.712,0.696,0.78,0.654
40,3,8,0.712,0.696,0.78,0.654
40,3,9,0.712,0.696,0.78,0.654
40,4,0,0.721,0.704,0.779,0.665
40,4,1,0.717,0.703,0.787,0.66
40,4,2,0.717,0.703,0.787,0.66
40,4,3,0.718,0.703,0.785,0.66
40,4,4,0.722,0.711,0.789,0.669
40,4,5,0.716,0.7,0.783,0.657
40,4,6,0.716,0.7,0.783,0.657
40,4,7,0.716,0.7,0.783,0.657
40,4,8,0.716,0.7,0.783,0.657
40,4,9,0.712,0.696,0.78,0.654
40,5,0,0.721,0.704,0.779,0.665
40,5,1,0.717,0.703,0.787,0.66
40,5,2,0.717,0.703,0.787,0.66
40,5,3,0.718,0.703,0.785,0.66
40,5,4,0.718,0.703,0.785,0.66
40,5,5,0.722,0.711,0.789,0.669
40,5,6,0.716,0.7,0.783,0.657
40,5,7,0.716,0.7,0.783,0.657
40,5,8,0.716,0.7,0.783,0.657
40,5,9,0.716,0.7,0.783,0.657
40,6,0,0.721,0.704,0.779,0.665
40,6,1,0.717,0.703,0.787,0.66
40,6,2,0.717,0.703,0.787,0.66
40,6,3,0.717,0.703,0.787,0.66
40,6,4,0.718,0.703,0.785,0.66
40,6,5,0.718,0.703,0.785,0.66
40,6,6,0.722,0.711,0.789,0.669
40,6,7,0.716,0.7,0.783,0.657
40,6,8,0.716,0.7,0.783,0.657
40,6,9,0.716,0.7,0.783,0.657
40,7,0,0.721,0.704,0.779,0.665
40,7,1,0.717,0.703,0.787,0.66
40,7,2,0.717,0.703,0.787,0.66
40,7,3,0.717,0.703,0.787,0.66
40,7,4,0.718,0.703,0.785,0.66
40,7,5,0.718,0.703,0.785,0.66
40,7,6,0.718,0.703,0.785,0.66
40,7,7,0.722,0.711,0.789,0.669
40,7,8,0.716,0.7,0.783,0.657
40,7,9,0.716,0.7,0.783,0.657
40,8,0,0.721,0.704,0.779,0.665
40,8,1,0.717,0.703,0.787,0.66
40,8,2,0.717,0.703,0.787,0.66
40,8,3,0.717,0.703,0.787,0.66
40,8,4,0.717,0.703,0.787,0.66
40,8,5,0.718,0.703,0.785,0.66
40,8,6,0.718,0.703,0.785,0.66
40,8,7,0.718,0.703,0.785,0.66
40,8,8,0.722,0.711,0.789,0.669
40,8,9,0.716,0.7,0.783,0.657
40,9,0,0.721,0.704,0.779,0.665
40,9,1,0.717,0.703,0.787,0.66
40,9,2,0.717,0.703,0.787,0.66
40,9,3,0.717,0.703,0.787,0.66
40,9,4,0.717,0.703,0.787,0.66
40,9,5,0.718,0.703,0.785,0.66
40,9,6,0.718,0.703,0.785,0.66
40,9,7,0.718,0.703,0.785,0.66
40,9,8,0.718,0.703,0.785,0.66
40,9,9,0.722,0.711,0.789,0.669
